;TDryBul;HDirNor;oveHeaPumY_u;reaTZon_y;delta_reaTZon_y
3214;273.8858;287.2052;0.11111111;298.88187;57.17893565987007
3215;273.8858;287.2052;0.11111111;300.47507;57.48411845601022
3216;273.8858;287.2052;0.11111111;302.06827;57.78930125215037
3217;273.8858;287.2052;0.11111111;303.66147;58.09448404829053
3218;273.8858;287.2052;0.11111111;305.2547;58.39967269017248
3219;273.8858;287.2052;0.11111111;306.8479;58.70485548631263
3220;273.8858;287.2052;0.22222222;292.50903;55.958232683482066
3221;273.8858;287.2052;0.22222222;294.10223;56.26341547962222
3222;273.8858;287.2052;0.22222222;295.69547;56.568604121504166
3223;273.8858;287.2052;0.22222222;297.28867;56.873786917644324
3224;273.8858;287.2052;0.22222222;298.88187;57.178969713784475
3225;273.8858;287.2052;0.22222222;300.47507;57.48415250992463
3226;273.8858;287.2052;0.22222222;302.06827;57.789335306064785
3227;273.8858;287.2052;0.22222222;303.66147;58.09451810220494
3228;273.8858;287.2052;0.22222222;305.2547;58.399706744086885
3229;273.8858;287.2052;0.22222222;306.8479;58.704889540227036
3230;273.8858;287.2052;0.33333334;292.50903;55.95826673739876
3231;273.8858;287.2052;0.33333334;294.10223;56.26344953353891
3232;273.8858;287.2052;0.33333334;295.69547;56.568638175420865
3233;273.8858;287.2052;0.33333334;297.28867;56.87382097156102
3234;273.8858;287.2052;0.33333334;298.88187;57.17900376770117
3235;273.8858;287.2052;0.33333334;300.47507;57.48418656384133
3236;273.8858;287.2052;0.33333334;302.06827;57.78936935998148
3237;273.8858;287.2052;0.33333334;303.66147;58.09455215612163
3238;273.8858;287.2052;0.33333334;305.2547;58.39974079800358
3239;273.8858;287.2052;0.33333334;306.8479;58.704923594143736
3240;273.8858;287.2052;0.44444445;292.50903;55.95830079131089
3241;273.8858;287.2052;0.44444445;294.10223;56.26348358745104
3242;273.8858;287.2052;0.44444445;295.69547;56.56867222933299
3243;273.8858;287.2052;0.44444445;297.28867;56.87385502547314
3244;273.8858;287.2052;0.44444445;298.88187;57.1790378216133
3245;273.8858;287.2052;0.44444445;300.47507;57.48422061775345
3246;273.8858;287.2052;0.44444445;302.06827;57.7894034138936
3247;273.8858;287.2052;0.44444445;303.66147;58.09458621003376
3248;273.8858;287.2052;0.44444445;305.2547;58.39977485191571
3249;273.8858;287.2052;0.44444445;306.8479;58.70495764805586
3250;273.8858;287.2052;0.5555556;292.50903;55.95833484523215
3251;273.8858;287.2052;0.5555556;294.10223;56.2635176413723
3252;273.8858;287.2052;0.5555556;295.69547;56.56870628325425
3253;273.8858;287.2052;0.5555556;297.28867;56.8738890793944
3254;273.8858;287.2052;0.5555556;298.88187;57.17907187553456
3255;273.8858;287.2052;0.5555556;300.47507;57.48425467167471
3256;273.8858;287.2052;0.5555556;302.06827;57.789437467814864
3257;273.8858;287.2052;0.5555556;303.66147;58.09462026395502
3258;273.8858;287.2052;0.5555556;305.2547;58.39980890583697
3259;273.8858;287.2052;0.5555556;306.8479;58.70499170197712
3260;273.8858;287.2052;0.6666667;292.50903;55.958368899144276
3261;273.8858;287.2052;0.6666667;294.10223;56.26355169528443
3262;273.8858;287.2052;0.6666667;295.69547;56.568740337166375
3263;273.8858;287.2052;0.6666667;297.28867;56.87392313330653
3264;273.8858;287.2052;0.6666667;298.88187;57.179105929446685
3265;273.8858;287.2052;0.6666667;300.47507;57.484288725586836
3266;273.8858;287.2052;0.6666667;302.06827;57.789471521726995
3267;273.8858;287.2052;0.6666667;303.66147;58.094654317867146
3268;273.8858;287.2052;0.6666667;305.2547;58.399842959749094
3269;273.8858;287.2052;0.6666667;306.8479;58.705025755889245
3270;273.8858;287.2052;0.7777778;292.50903;55.9584029530564
3271;273.8858;287.2052;0.7777778;294.10223;56.26358574919656
3272;273.8858;287.2052;0.7777778;295.69547;56.568774391078506
3273;273.8858;287.2052;0.7777778;297.28867;56.87395718721866
3274;273.8858;287.2052;0.7777778;298.88187;57.17913998335881
3275;273.8858;287.2052;0.7777778;300.47507;57.48432277949897
3276;273.8858;287.2052;0.7777778;302.06827;57.78950557563912
3277;273.8858;287.2052;0.7777778;303.66147;58.09468837177927
3278;273.8858;287.2052;0.7777778;305.2547;58.399877013661225
3279;273.8858;287.2052;0.7777778;306.8479;58.70505980980138
3280;273.8858;287.2052;0.8888889;292.50903;55.95843700696853
3281;273.8858;287.2052;0.8888889;294.10223;56.26361980310868
3282;273.8858;287.2052;0.8888889;295.69547;56.56880844499063
3283;273.8858;287.2052;0.8888889;297.28867;56.87399124113079
3284;273.8858;287.2052;0.8888889;298.88187;57.17917403727094
3285;273.8858;287.2052;0.8888889;300.47507;57.48435683341109
3286;273.8858;287.2052;0.8888889;302.06827;57.78953962955125
3287;273.8858;287.2052;0.8888889;303.66147;58.0947224256914
3288;273.8858;287.2052;0.8888889;305.2547;58.39991106757335
3289;273.8858;287.2052;0.8888889;306.8479;58.7050938637135
3290;273.8858;287.2052;1.0;292.50903;55.958471060880655
3291;273.8858;287.2052;1.0;294.10223;56.26365385702081
3292;273.8858;287.2052;1.0;295.69547;56.56884249890276
3293;273.8858;287.2052;1.0;297.28867;56.87402529504291
3294;273.8858;287.2052;1.0;298.88187;57.179208091183064
3295;273.8858;287.2052;1.0;300.47507;57.48439088732322
3296;273.8858;287.2052;1.0;302.06827;57.789573683463374
3297;273.8858;287.2052;1.0;303.66147;58.094756479603525
3298;273.8858;287.2052;1.0;305.2547;58.39994512148547
3299;273.8858;287.2052;1.0;306.8479;58.70512791762563
3300;278.8037;287.2052;0.0;292.50903;55.985080041088516
3301;278.8037;287.2052;0.0;294.10223;56.290262837228674
3302;278.8037;287.2052;0.0;295.69547;56.59545147911062
3303;278.8037;287.2052;0.0;297.28867;56.90063427525077
3304;278.8037;287.2052;0.0;298.88187;57.20581707139093
3305;278.8037;287.2052;0.0;300.47507;57.51099986753108
3306;278.8037;287.2052;0.0;302.06827;57.816182663671235
3307;278.8037;287.2052;0.0;303.66147;58.12136545981139
3308;278.8037;287.2052;0.0;305.2547;58.42655410169334
3309;278.8037;287.2052;0.0;306.8479;58.73173689783349
3310;278.8037;287.2052;0.11111111;292.50903;55.985114095002935
3311;278.8037;287.2052;0.11111111;294.10223;56.290296891143086
3312;278.8037;287.2052;0.11111111;295.69547;56.595485533025034
3313;278.8037;287.2052;0.11111111;297.28867;56.90066832916519
3314;278.8037;287.2052;0.11111111;298.88187;57.205851125305344
3315;278.8037;287.2052;0.11111111;300.47507;57.511033921445495
3316;278.8037;287.2052;0.11111111;302.06827;57.816216717585654
3317;278.8037;287.2052;0.11111111;303.66147;58.121399513725805
3318;278.8037;287.2052;0.11111111;305.2547;58.42658815560775
3319;278.8037;287.2052;0.11111111;306.8479;58.731770951747905
3320;278.8037;287.2052;0.22222222;292.50903;55.98514814891734
3321;278.8037;287.2052;0.22222222;294.10223;56.29033094505749
3322;278.8037;287.2052;0.22222222;295.69547;56.595519586939446
3323;278.8037;287.2052;0.22222222;297.28867;56.9007023830796
3324;278.8037;287.2052;0.22222222;298.88187;57.20588517921975
3325;278.8037;287.2052;0.22222222;300.47507;57.51106797535991
3326;278.8037;287.2052;0.22222222;302.06827;57.81625077150006
3327;278.8037;287.2052;0.22222222;303.66147;58.12143356764021
3328;278.8037;287.2052;0.22222222;305.2547;58.42662220952216
3329;278.8037;287.2052;0.22222222;306.8479;58.731805005662316
3330;278.8037;287.2052;0.33333334;292.50903;55.98518220283403
3331;278.8037;287.2052;0.33333334;294.10223;56.29036499897419
3332;278.8037;287.2052;0.33333334;295.69547;56.59555364085614
3333;278.8037;287.2052;0.33333334;297.28867;56.90073643699629
3334;278.8037;287.2052;0.33333334;298.88187;57.20591923313644
3335;278.8037;287.2052;0.33333334;300.47507;57.5111020292766
3336;278.8037;287.2052;0.33333334;302.06827;57.81628482541675
3337;278.8037;287.2052;0.33333334;303.66147;58.1214676215569
3338;278.8037;287.2052;0.33333334;305.2547;58.42665626343885
3339;278.8037;287.2052;0.33333334;306.8479;58.73183905957901
3340;278.8037;287.2052;0.44444445;292.50903;55.98521625674616
